节奏蓝调	Rhythm and blues 
吴海燕_(足球运动员)	Wu Haiyan_ (football player) 
+34	+34 
迪比沙林	Dibisarin 
马科恩-赖肖尔表记法	Markon-Reishol Table Notation 
芬兰-拉普语族	Finnish-Lappish 
电击hp	Electric shock hp 
格斗漫画	Fighting comics 
冲上云霄	Rush to the sky 
美国第1装甲军	U.S. 1st Armored Corps 
李昶旻	Li Changmin 
公共安全委员会	Public Safety Committee 
天主教纽西兰军中教长区	Catholic New Zealand Army Central District 
大连晟威	Dalian Shengwei 
博南扎_(犹他州)	Bonanza_ (Utah) 
巴卢韦利体育俱乐部	Barueri Sports Club 
瓦卢瓦王朝	Valois 
萨克森—科堡-哥达王朝	Saxony-Coburg-Gotha Dynasty 
南洋公学	Nanyang College 
李仙蕙	Li Xianhui 
盟国管制理事会	Allied Control Council 
川嶋纪子	Itoko Kawashima 
横东罕	Yokotohan 
台湾国训足球队	Taiwan National Football Team 
菅野信三	Shinzo Kanno 
南丹麦大区	Region of Southern Denmark 
新制度经济学	New Institutional Economics 
柏林普鲁士网球俱乐部	Prussian Tennis Club Berlin 
来自未来的史密特	Schmidt from the future 
痞子英雄	Ruffian hero 
大仪见优季	Ogimi Yuki 
格鲁吉亚总理	Prime Minister of Georgia 
澳大利亚外交部	Australian Ministry of Foreign Affairs 
李斯特城足球俱乐部	Liszt City Football Club 
广东日之泉足球俱乐部	Guangdong Sun Spring Football Club 
尚穆根·贾古玛	Shanmugen Jagumar 
奥地利经济学派	Austrian School of Economics 
绿色政治	Green politics 
【国家重点项目】	【National Key Project】 
万岁胜利者的桂冠	Long live the winner's crown 
张继正	Zhang Jizheng 
鞭笞核	Flogging nucleus 
london唱片公司	london record company 
秀逗魔导士	Sorcerer 
tatoi	τατόι 
向华强	Xiang Huaqiang 
广州美术学院	Guangzhou Art College 
国际共产主义研讨会	International Communism Symposium 
爱达荷州第二国会选区	Idaho Second Congressional District 
工商管理硕士	Master of Business Administration 
我的忆万面包	My Yiwan Bread 
怀旧女郎	Nostalgic girl 
藤原宫子	Fujiwara Miyako 
共同电视	Co-TV 
普利亚大公国	Grand Duchy of Puglia 
朝鲜劳动党永远的总书记	Permanent Secretary of the Workers' Party of Korea 
干拿	Dry 
仁义里	Renyili 
巴黎第五区	Paris 5th district 
韩国行政区划	Administrative divisions of South Korea 
生态社会主义	Ecological socialism 
保科正直	Hoshina Masanao 
英国首相_联合王国首相	Prime Minister of the United Kingdom_Prime Minister of the United Kingdom 
奥马哈_(内布拉斯加州)	Omaha_ (Nebraska) 
渡辺国武	Watanabe Kunitake 
波利尼西亚语支	Polynesian branch 
张卫_(足球运动员)	Zhang Wei_ (football player) 
米尔福德黑文侯爵	Marquis of Milford Haven 
副省级市	Vice-provincial city 
亚洲科技	Asia Technology 
卢森堡货运航空	Cargo Luxembourg 
冯王妃_(东宁)	Princess Feng_(Dongning) 
特林素体育会	Trinso Sports Club 
格芬公园球场	Geffen Park 
马丁吉他	Martin guitar 
比拉马体育会	Birama Sports Club 
邹欣倪	Zou Xinni 
卡尔九世	Karl IX 
爱的圆舞曲	Waltz of love 
广体飞机	Wide-body aircraft 
卫理钦	Wei Liqin 
巴蒂亚·宾特·哈桑公主	Princess Bhatia Bint Hassan 
旧量子论	Old quantum theory 
英国国防部	British Ministry of Defence 
krugozor	horizon 
俄勒冈大学	University of Oregon 
艾林文高	Ailing Wengao 
织田信孝	Oda Nobutaka 
丰臣氏	Toyotomi 
深圳宝安国际机场	Shenzhen Baoan International airport 
罗富国	Luo Fuguo 
snobol	Snowball 
其米德·赛汗比勒格	Qimid Saihanbileg 
猪狩祐贵	Yuki Igari 
法国司法部	French Ministry of Justice 
头文字d	Initial d 
潮汕话	Chaoshan dialect 
肇庆市体育中心	Zhaoqing Sports Center 
查尔斯·梅特卡夫，第一代梅特卡夫男爵	Charles Metcalf, the first Baron Metcalf 
军事占领	Military occupation 
坎德拉_(科贾埃利省)	Candela_ (Kocaeli Province) 
esmerine	grind 
美国海军部部长	Secretary of the Navy 
细叶榕	Ficus tenuifolia 
通用媒体光碟	Universal Media Disc 
金山隼树	Golden Mountain Falcon 
正二位	Positive two 
小爱德华·斯特蒂纽斯	Edward Stettinius Jr. 
马耳他总统	President of Malta 
苏嘉湖小片	Su Jiahu small film 
文艺复兴建筑	Renaissance architecture 
金敏均	Jin Minjun 
弗朗切斯科五世_(摩德纳)	Francesco V_ (Modena) 
美国联邦众议院	U.S. House of Representatives 
利华古逊足球俱乐部	Lihua Guson Football Club 
番禺会所华仁小学	Panyu Club Huaren Primary School 
科特布斯足球俱乐部	Cottbus Football Club 
邝广杰	Kwong Kwong Kit 
邓伯什足球俱乐部	Dun Bosh Football Club 
意大利银行	Bank of Italy 
