桥本由香利	Hashimoto Yukari 
严岛神社	Itsukushima Shrine 
曾雯婷	Zeng Wenting 
冯柏源	Feng Baiyuan 
蔡氏电路	Chua's circuit 
绚香×可苦可乐	Ayaka × Coco Cola 
一江山岛战役	Battle of Yijiangshan Island 
作词家	Lyricist 
鲁西永	Roussillon 
贝莱斯沙士菲体育会	Velez Shasfield Sports Club 
第二次马纳沙斯之役	The Second Battle of Manassas 
浪速人	Naniwa 
弗里蒙特_(内布拉斯加州)	Fremont_ (Nebraska) 
国民革命军陆军新编第四军	New Fourth Army of the National Revolutionary Army 
中国南部	Southern China 
神旺投资	Sanwang Investment 
伯尔克郡政府	Berkshire Government 
李四川	Li Sichuan 
拜金女孩	Money girl 
贝特公式	Bethe formula 
达卡亚巴哈尼足球会	Dakaya Bahani Football Club 
屋大维娅	Octavia 
京都不死鸟	Kyoto Sanga 
category:伊顿公学校友	category:Eton College Alumni 
瑞典王后	Queen of Sweden 
美国战役奖章	American Battle Medal 
演进式hspa	Evolutionary hspa 
何文薏	He Wenyi 
赫尔-李特伍德多项式	Hull-Littlewood Polynomial 
大辽里	Daliaoli 
诺贝尔奖得主列表	List of Nobel Prize winners 
手机规格	Phone specifications 
陕西各地级市地区生产总值列表	List of regional GDP of various cities in Shaanxi 
初恋嗱喳面	First Love Screaming Noodles 
比安伊拉夫‧祖云奴域	Bianyilav Zuyunnuyu 
圣菲利普区_(巴巴多斯)	Saint Philip District_(Barbados) 
爱沙尼亚银行	Bank of Estonia 
雀形目	Passerine 
拉华尔足球俱乐部	Raval Football Club 
加尔各达	Calcutta 
比亚斯华	Biaswa 
标致雪铁龙集团	Peugeot Citroen Group 
那帕	Napa 
伊朗伊斯兰议会	Islamic Parliament of Iran 
富裕柯尔克孜语	Wealthy Kirghiz 
加利福尼亚州第十四国会选区	California's 14th Congressional District 
日本华人	Japanese Chinese 
德黑兰澳洲军事学院	Tehran Australian Military Academy 
科技音乐	Technological Music 
德意志之歌	Song of Germany 
中央情报局局长	Director of the Central Intelligence Agency 
洪涛_(制作人)	Hong Tao_(Producer) 
美洲人	American 
苗礼治	Miao Lizhi 
清太祖皇六女	Six Daughters of Qing Taizu Emperor 
和宫亲子内亲王	Prince of the Palace 
布恩_(爱阿华州)	Boone_ (Iowa) 
j5	j5 
桑乔六世_(纳瓦拉)	Sancho VI_ (Navarre) 
间接选举	Indirect election 
上田茂	Shigeru Ueda 
国立民雄高级农工职业学校	National Minxiong Advanced Agricultural and Industrial Vocational School 
云南陆军讲武堂	Yunnan Army Lecture Hall 
阿尔及利亚银行	Bank of Algeria 
杨行密	Yang Xingmi 
兹维亚德·加姆萨胡尔季阿	Zvyad Gamsakhurdia 
丰都长江大桥	Fengdu Yangtze River Bridge 
艾希迪体育及文化会	Ashidi Sports and Cultural Association 
日本百观音	Hundred Kannon 
北瓦济里斯坦特区	North Waziristan 
卡塔尼亚大学	University of Catania 
宋希斌	Song Xibin 
白谷建人	Kento Shiratani 
