和子女王	And son queen 
埃默里大学	Emory University 
爱丁顿光度	Eddington luminosity 
米沙比矿场	Mishabi Mine 
洪都拉斯国家足球队	Honduras national football team 
人民全国代表大会党	People's National Congress Party 
贡扎加家族	Gonzaga family 
阿勒颇之战	Battle of Aleppo 
南贤喜	Nam Hyun Hee 
法荷航集团	Air France-KLM Group 
海参崴时间	Vladivostok time 
潘汉伟	Pan Hanwei 
海蝶音乐	Sea Butterfly Music 
荷兰王国章程	Constitution of the Kingdom of the Netherlands 
瑞吉里	Regiri 
毛姓	Mao Surname 
全国社会保障基金理事会	National Council of Social Security Fund 
卢森堡的约翰	John of Luxembourg 
周兆溎	Zhou Zhaoxin 
大韩民国教育部	Ministry of Education of the Republic of Korea 
南斯拉夫联邦	Federal Republic of Yugoslavia 
君士坦丁堡的陷落	The fall of Constantinople 
固态燃料	Solid fuel 
五条东洞院殿	Gojo Dongdong Temple 
优卑亚字母	Euboea 
陈佩琪	Chen Peiqi 
阿波加将太	General Apoga 
彩云国物语	The Story of Saiunkoku 
file:莱斯大学logo.png	file: Rice University logo.png 
英格兰及威尔斯天主教主教会议	Conference of Catholic Bishops of England and Wales 
郑天翔	Zheng Tianxiang 
世界青年日	World Youth Day 
贝塞斯达软件	Bethesda Software 
徐辉祖	Xu Huizu 
第23届日本参议院议员通常选举	Ordinary election for the 23rd Japanese Senate 
卡拉乔杰维奇王朝	Karadovich Dynasty 
意大利民主社会党	Italian Democratic Socialist Party 
金门炮战	Golden Gate Artillery Battle 
江端里沙	Risa Ebata 
勋一等旭日大绶章	First Class Rising Sun Ribbon Medal 
哥廷根	Göttingen 
sbv精英队	sbv elite team 
as罗马	as Rome 
广宁煤炭足球俱乐部	Guangning Coal Football Club 
萨克森的玛丽·约瑟芬_(1731年–1767年)	Mary Josephine of Saxony (1731-1767) 
澳大利亚国防军	Australian Defence Force 
网志发布系统	Blog publishing system 
一位年轻医生的笔记	Notes from a young doctor 
六苓里	Liulingli 
桑乔七世_(纳瓦拉)	Sancho VII_ (Navarre) 
长平公主	Princess Changping 
佛山高明纪念中学	Foshan Gaoming Memorial Middle School 
康诺的帕特丽西娅公主	Princess Patricia of Connaught 
最终幻想viii	Final fantasy viii 
板鼻利幸	Toshiyuki Itahana 
朱慈烺	Zhu Cihong 
.pl	.pl 
七星里	Qixingli 
江口贵敕	Eguchi Takano 
沙洛瓦劳动大学	Shalowa Labor University 
班珠尔（人名）	Banjul (person's name) 
里加斯特拉京什大学	Riga Stratins University 
莱克伍德_(科罗拉多州)	Lakewood_ (Colorado) 
僮阳郡	Tongyang County 
都志见隆	Toshimi Takashi 
田川氏_(郑成功母)	Tian Chuan Family_(Mother Zheng Chenggong) 
纽西兰摇滚	New Zealand Rock 
松平定胜	Hisamatsu Sadakazu 
萨福克县_(马萨诸塞州)	Suffolk County_ (Massachusetts) 
情歌球场	Love Song Stadium 
吉普森结他公司	Gibson Guitar Company 
雷莫·加斯帕里	Remo Gaspari 
梭发那·富马亲王	Prince Sophana Fuma 
亚足联五人制足球锦标赛	AFC Futsal Championship 
国防承包商	Defense contractor 
古迪比足球会	Goodbye Football Club 
嚞娱乐制作有限公司	Yao Entertainment Production Co., Ltd. 
喀尔喀蒙古	Kharkha Mongolia 
飞行家唱片	Aviator Records 
九条尚忠	Kujo Nautada 
青少年文学	Youth Literature 
埃斯科里亚尔修道院	Escorial monastery 
圣安德烈_(圣保罗州)	San André_ (State of Sao Paulo) 
仙台市地下铁	Sendai City Subway 
天熹娱乐	Tianxi Entertainment 
w:de:deutsche_fußballnationalmannschaft_(u-19-junioren)	w: de: german national football team _ (u-19-junior) 
芬兰的利奥_(马科宁)	Leo of Finland (Makonen) 
花呢格纹	Tweed plaid 
后迪斯可	Post-disco 
南开中学	Nankai Middle School 
市场营销	marketing 
laxmikant_kattimani	laxmikant_kattimani 
蒙特塞拉特总督	Governor of Montserrat 
维德角银行	Cape Verde Bank 
满洲国圆	Manchuria National Circle 
休士顿大学	University of Houston 
艺术音乐	Art music 
半自动步枪	Semi-automatic rifle 
本田ra108	Honda ra108 
爱的生存之道	Love's way of survival 
德铁信可	DB Schenker 
威斯康星大学	University of Wisconsin 
井手口阳介	Yosuke Ideguchi 
约翰十七世	John XVII 
穆斯塔法·吕什蒂·埃代尔洪	Mustafa Rusti Ederhon 
中葡和好通商条约	Sino-Portuguese Harmonious Trade Treaty 
wythenshawe	wythenshawe 
陈英宗	Chen Yingzong 
冢野ハメド	Naseem Hamed 
恩斯特·奥古斯特_(汉诺威)	Ernst August_ (Hannover) 
松本行弘	Matsumoto Yukihiro 
自由民主党干事长	Secretary General of the Liberal Democratic Party 
牵牛花开的日子	The day the morning glory bloomed 
李世𪟝	Li Shi 𪟝 
长江三峡	Three Gorges of the Yangtze River 
丸山智己	Tomomi Maruyama 
阿拉巴马赤色风暴	Alabama Crimson Storm 
硝石战争	Saltpeter War 
亚洲航空	AirAsia 
吉田修平	Shuhei Yoshida 
凤凰传奇	Phoenix Legend 
加州州立大学弗雷斯诺分校	California State University Fresno 
威尔斯大臣	Minister of Wales 
交往中却像单相思	But in the intercourse like unrequited love 
不可思议迷宫系列	Incredible Labyrinth Series 
穗积皇子	Prince Hosuke 
杉欣也	Shan Xin Ye 
hc120直升机	hc120 helicopter 
特伦钦足球俱乐部	Trencin Football Club 
特里斯蒂纳足球俱乐部	Tristina Football Club 
二月革命	February Revolution 
英国广播公司电视	BBC Television 
